,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Intercept,RAPM__Off,RAPM__Off_Rank,playerId,playerName
187,0.228,184.0,-0.215,355.0,111.321,0.443,118.0,1628518,Amile Jefferson
188,0.17,193.0,0.14,182.0,111.321,0.03,241.0,1628537,Jaylen Morris
189,-0.157,299.0,-0.039,272.0,111.321,-0.118,304.0,1628605,Dusty Hannahs
190,-0.07,270.0,0.053,218.0,111.321,-0.123,305.0,1628656,Billy Garrett
191,0.168,194.0,0.064,214.0,111.321,0.104,199.0,1628769,Tahjere McCall
192,-0.041,262.0,-0.156,327.0,111.321,0.115,193.0,1628959,Rawle Alkins
193,-1.673,500.0,-0.999,502.0,111.321,-0.674,449.0,1628960,Grayson Allen
194,0.043,231.0,0.052,220.0,111.321,-0.009,262.0,1628961,Kostas Antetokounmpo
195,-0.795,426.0,-0.821,483.0,111.321,0.026,242.0,1628963,Marvin Bagley III
196,-2.543,524.0,-0.379,405.0,111.321,-2.165,528.0,1628964,Mo Bamba
197,-0.578,394.0,-0.57,447.0,111.321,-0.008,261.0,1628966,Keita Bates-Diop
198,-0.665,408.0,-0.319,386.0,111.321,-0.346,375.0,1628969,Mikal Bridges
199,-0.527,379.0,-0.718,469.0,111.321,0.191,167.0,1628970,Miles Bridges
200,0.908,86.0,0.922,49.0,111.321,-0.014,266.0,1628971,Bruce Brown
201,0.383,156.0,-0.106,296.0,111.321,0.489,114.0,1628972,Troy Brown Jr.
202,-0.203,308.0,-0.095,293.0,111.321,-0.108,303.0,1628973,Jalen Brunson
203,-0.949,452.0,-0.121,306.0,111.321,-0.828,475.0,1628975,Jevon Carter
204,-1.553,495.0,0.573,95.0,111.321,-2.126,527.0,1628976,Wendell Carter Jr.
205,-1.153,470.0,-0.707,466.0,111.321,-0.446,402.0,1628977,Hamidou Diallo
206,0.587,124.0,0.416,127.0,111.321,0.171,172.0,1628978,Donte DiVincenzo
207,0.002,244.0,-0.015,258.0,111.321,0.017,247.0,1628979,Trevon Duval
208,-0.505,375.0,-0.149,323.0,111.321,-0.356,377.0,1628980,Jacob Evans
209,-0.085,276.0,-0.004,251.0,111.321,-0.081,292.0,1628982,Melvin Frazier Jr.
210,-0.626,406.0,-0.131,313.0,111.321,-0.494,411.0,1628983,Shai Gilgeous-Alexander
211,-1.211,477.0,-0.778,476.0,111.321,-0.433,397.0,1628984,Devonte Graham
212,0.702,106.0,0.453,116.0,111.321,0.25,156.0,1628988,Aaron Holiday
213,0.679,110.0,-0.271,374.0,111.321,0.949,51.0,1628989,Kevin Huerter
214,-0.531,382.0,0.315,148.0,111.321,-0.845,478.0,1628990,Chandler Hutchison
215,-0.694,412.0,1.057,34.0,111.321,-1.751,522.0,1628991,Jaren Jackson Jr.
216,-0.151,296.0,-0.319,387.0,111.321,0.168,173.0,1628993,Alize Johnson
217,-0.118,285.0,-0.136,314.0,111.321,0.018,245.0,1628994,George King
218,-4.035,529.0,-2.249,526.0,111.321,-1.786,523.0,1628995,Kevin Knox
219,0.051,226.0,0.067,212.0,111.321,-0.016,268.0,1628999,Yante Maten
220,-0.925,448.0,-0.772,474.0,111.321,-0.153,318.0,1629001,DeAnthony Melton
221,-0.405,357.0,0.026,237.0,111.321,-0.432,396.0,1629002,Chimezie Metu
222,-0.12,289.0,-0.461,425.0,111.321,0.34,133.0,1629003,Shake Milton
223,-0.264,326.0,0.039,232.0,111.321,-0.303,359.0,1629004,Svi Mykhailiuk
224,0.593,122.0,0.086,201.0,111.321,0.507,111.0,1629006,Josh Okogie
225,-0.5,373.0,-0.689,461.0,111.321,0.189,168.0,1629010,Jerome Robinson
226,-0.444,361.0,0.052,221.0,111.321,-0.496,413.0,1629011,Mitchell Robinson
227,-3.265,528.0,-2.549,529.0,111.321,-0.716,459.0,1629012,Collin Sexton
228,-0.138,293.0,-0.713,468.0,111.321,0.575,94.0,1629013,Landry Shamet
229,-0.822,431.0,-0.657,459.0,111.321,-0.166,320.0,1629014,Anfernee Simons
230,0.355,160.0,-0.139,317.0,111.321,0.494,113.0,1629015,Zhaire Smith
231,-1.933,509.0,-1.023,503.0,111.321,-0.909,487.0,1629016,Omari Spellman
232,-0.54,383.0,0.074,208.0,111.321,-0.613,440.0,1629017,Khyri Thomas
233,-0.115,283.0,-0.229,359.0,111.321,0.114,194.0,1629018,Gary Trent Jr.
234,-0.939,451.0,-0.263,370.0,111.321,-0.677,450.0,1629019,Allonzo Trier
235,0.282,172.0,0.326,146.0,111.321,-0.044,282.0,1629020,Jarred Vanderbilt
236,-1.229,479.0,0.136,184.0,111.321,-1.365,513.0,1629021,Moritz Wagner
237,-0.776,423.0,-0.211,353.0,111.321,-0.565,430.0,1629022,Lonnie Walker IV
238,-0.376,352.0,-0.171,337.0,111.321,-0.206,333.0,1629026,Kenrich Williams
239,-2.053,514.0,-2.412,528.0,111.321,0.359,131.0,1629027,Trae Young
240,-0.911,445.0,-0.153,325.0,111.321,-0.758,466.0,1629028,Deandre Ayton
241,0.067,221.0,-0.525,435.0,111.321,0.592,91.0,1629029,Luka Doncic
242,-0.055,265.0,0.688,78.0,111.321,-0.743,465.0,1629033,Theo Pinson
243,-0.072,272.0,0.072,210.0,111.321,-0.144,314.0,1629034,Ray Spalding
244,-0.26,324.0,-0.337,396.0,111.321,0.077,212.0,1629045,Bonzie Colson
245,-0.013,248.0,-0.023,262.0,111.321,0.01,250.0,1629053,Vincent Edwards
246,-0.001,246.0,0.006,246.0,111.321,-0.007,260.0,1629055,Donte Grantham
247,-0.575,392.0,0.186,171.0,111.321,-0.762,467.0,1629057,Robert Williams III
248,0.01,241.0,0.091,199.0,111.321,-0.081,291.0,1629058,Dzanan Musa
249,-1.296,482.0,-0.171,336.0,111.321,-1.126,505.0,1629059,Elie Okobo
250,-0.436,359.0,0.082,205.0,111.321,-0.518,418.0,1629061,Deng Adel
251,0.06,224.0,0.358,136.0,111.321,-0.299,356.0,1629066,Rodions Kurucs
252,0.235,182.0,0.479,112.0,111.321,-0.244,342.0,1629067,Isaac Bonga
253,0.018,238.0,0.018,242.0,111.321,0.0,254.0,1629093,Tyler Davis
254,-0.035,257.0,0.07,211.0,111.321,-0.105,300.0,1629094,Marcus Derrickson
255,-0.355,346.0,-0.442,422.0,111.321,0.087,206.0,1629102,Brandon Sampson
256,-0.294,334.0,-0.553,442.0,111.321,0.259,152.0,1629109,Gary Clark
257,0.047,229.0,0.173,173.0,111.321,-0.126,306.0,1629116,Angel Delgado
258,-0.022,253.0,-0.029,268.0,111.321,0.007,252.0,1629118,Thomas Welsh
259,-0.118,286.0,-0.034,270.0,111.321,-0.085,295.0,1629121,Jaylen Adams
260,0.01,242.0,0.113,190.0,111.321,-0.103,299.0,1629122,J.P. Macura
261,-0.268,328.0,0.039,233.0,111.321,-0.307,360.0,1629123,Jared Terrell
262,0.423,153.0,0.821,60.0,111.321,-0.399,385.0,1629126,Deonte Burton
263,-0.439,360.0,-0.107,297.0,111.321,-0.332,371.0,1629130,Duncan Robinson
264,-0.146,295.0,-0.087,287.0,111.321,-0.059,285.0,1629133,Daryl Macon
265,0.411,154.0,0.138,183.0,111.321,0.272,150.0,1629139,Yuta Watanabe
266,1.173,66.0,0.543,101.0,111.321,0.63,84.0,1629140,Johnathan Williams
267,-0.038,259.0,-0.016,259.0,111.321,-0.022,271.0,1629147,Joe Chealey
268,0.079,216.0,-0.024,264.0,111.321,0.102,200.0,1629150,Emanuel Terry
269,0.784,98.0,0.356,137.0,111.321,0.428,121.0,1629151,Ryan Broekhoff
270,0.052,225.0,-0.013,255.0,111.321,0.065,221.0,1629152,DeVaughn Akoon-Purcell
271,0.019,237.0,0.016,243.0,111.321,0.004,253.0,1629155,Zach Lofton
272,0.073,218.0,0.051,222.0,111.321,0.022,244.0,1629164,Brandon Goodwin
273,-0.22,314.0,-0.171,338.0,111.321,-0.05,284.0,1629168,BJ Johnson
274,-0.211,310.0,0.023,240.0,111.321,-0.234,339.0,1629185,Chris Chiozza
275,0.547,128.0,0.513,107.0,111.321,0.034,236.0,1629203,Jemerrio Jones
276,-0.353,345.0,-0.071,280.0,111.321,-0.282,350.0,1629234,Drew Eubanks
277,-0.078,275.0,-0.171,335.0,111.321,0.092,204.0,1629244,Cameron Reynolds
278,-0.379,354.0,-0.394,410.0,111.321,0.015,249.0,1629312,Haywood Highsmith
279,-0.23,317.0,-0.093,292.0,111.321,-0.137,309.0,1629353,Isaac Humphries
280,-0.72,417.0,-0.325,389.0,111.321,-0.395,382.0,1629541,Dairis Bertans
281,-0.801,427.0,0.218,162.0,111.321,-1.019,498.0,1713,Vince Carter
282,-0.834,432.0,-0.339,397.0,111.321,-0.495,412.0,1717,Dirk Nowitzki
283,0.853,90.0,-0.116,304.0,111.321,0.97,48.0,200746,LaMarcus Aldridge
284,1.497,49.0,1.117,26.0,111.321,0.38,128.0,200752,Rudy Gay
285,1.714,41.0,1.187,22.0,111.321,0.527,107.0,200755,JJ Redick
286,1.066,73.0,0.949,47.0,111.321,0.117,190.0,200757,Thabo Sefolosha
287,-1.941,510.0,-0.97,497.0,111.321,-0.971,496.0,200765,Rajon Rondo
288,2.76,10.0,1.026,36.0,111.321,1.733,15.0,200768,Kyle Lowry
289,0.627,117.0,-0.08,285.0,111.321,0.708,70.0,200782,PJ Tucker
290,2.958,6.0,1.269,18.0,111.321,1.689,17.0,200794,Paul Millsap
291,0.447,145.0,0.303,152.0,111.321,0.144,182.0,200826,J.J. Barea
292,4.094,2.0,0.412,129.0,111.321,3.681,1.0,201142,Kevin Durant
293,2.059,22.0,0.582,92.0,111.321,1.477,21.0,201143,Al Horford
294,1.251,63.0,0.706,75.0,111.321,0.545,99.0,201144,Mike Conley
295,0.105,211.0,-0.995,500.0,111.321,1.1,40.0,201145,Jeff Green
296,0.012,240.0,0.205,166.0,111.321,-0.194,327.0,201147,Corey Brewer
297,0.722,103.0,0.985,43.0,111.321,-0.264,346.0,201149,Joakim Noah
298,1.004,77.0,0.413,128.0,111.321,0.591,92.0,201152,Thaddeus Young
299,-0.154,298.0,-0.027,266.0,111.321,-0.127,307.0,201156,Nick Young
300,-0.365,350.0,-0.917,489.0,111.321,0.552,98.0,201158,Marco Belinelli
301,-0.543,385.0,0.199,168.0,111.321,-0.742,464.0,201160,Jason Smith
302,0.345,162.0,-0.288,380.0,111.321,0.632,83.0,201162,Jared Dudley
303,0.437,149.0,-0.358,400.0,111.321,0.795,64.0,201163,Wilson Chandler
304,1.828,33.0,1.183,23.0,111.321,0.646,81.0,201188,Marc Gasol
305,-0.498,371.0,0.156,177.0,111.321,-0.654,442.0,201229,Anthony Tolliver
306,0.046,230.0,0.057,216.0,111.321,-0.011,265.0,201281,Andre Ingram
307,-0.364,349.0,-0.148,321.0,111.321,-0.216,336.0,201563,Michael Beasley
308,0.403,155.0,-0.565,446.0,111.321,0.967,49.0,201565,Derrick Rose
309,0.956,83.0,0.128,185.0,111.321,0.827,61.0,201566,Russell Westbrook
310,0.624,118.0,0.092,198.0,111.321,0.532,106.0,201567,Kevin Love
311,1.48,51.0,-0.315,385.0,111.321,1.796,13.0,201568,Danilo Gallinari
312,2.314,16.0,0.482,111.0,111.321,1.832,11.0,201569,Eric Gordon
313,0.681,108.0,0.048,226.0,111.321,0.633,82.0,201571,D.J. Augustin
314,2.109,20.0,1.071,32.0,111.321,1.039,44.0,201572,Brook Lopez
315,-1.887,506.0,-1.587,523.0,111.321,-0.299,357.0,201573,Jerryd Bayless
